Date,Tweet
2022-01-03 16:56:05+00:00,"*Tim PKM Penkesrek FIO Unesa Gelar Workshop bersama Pelatih dan Atlet Sepaktakraw Jatim*

https://t.co/eFBrweJbyp"
2022-01-03 16:25:18+00:00,"*Tim PKM Jurusan Akuntansi FEB Unesa Latih Pengelolaan Keuangan Keluarga bagi Ibu-ibu PKK*

https://t.co/DkDYQOebNj"
2022-01-03 16:08:33+00:00,"semoga nilai rapotku bisa masuk SNMPTN Unesa, AAAMIIIN"
2022-01-03 15:53:08+00:00,"ipk cumlaude kan &gt;3,5 yah.. nah itu 3,5 rata2 dari semester 1-7 atau tiap semester harus lebih dr 3,5 ?? gapaham banget😭 nesa!"
2022-01-03 15:26:10+00:00,"*PKM Kimia Unesa Beri Pelatihan Produk Susu Kedelai Beras Merah Bagi Ibu Dharma Wanita Fmipa Unesa*

https://t.co/sRFsKTO1Bm"
2022-01-03 12:34:20+00:00,nesa! bisa ga si pindah prodi tp beda fakultas? harus tes lagi gitu ya?
2022-01-03 12:22:22+00:00,"nesa! kalender akademik kan udah keluar tuh ya, online/offlinenya masih belum tau apa udah ada infonya? suwun"
2022-01-03 10:43:05+00:00,#NAME?
2022-01-03 10:18:29+00:00,"yaallah -rek unesa melbu februari yo, berasa pengangguran https://t.co/pfk6Xbeppf"
2022-01-03 10:17:58+00:00,"nesa! halo, spk itu keluarnya brp lama ya?"
2022-01-03 10:17:27+00:00,nesa! Ada info banding ukt gaa?
2022-01-03 10:16:23+00:00,nesa! Dah keluar niii https://t.co/das86P6PCr
2022-01-03 10:03:21+00:00,"Kalender semester genap nih nesa! Aku angkatan 18, kalo pengen ga bayar ukt lagi, maksimal spk ku harus udh jadi tgl berapa ya rek? https://t.co/3MGvmw3zTP"
2022-01-03 08:35:49+00:00,"Unesa
3 Januari 2022 @ Surabaya, Indonesia https://t.co/Ij5TPE9k6X"
2022-01-03 08:27:38+00:00,"SMK! Ada cewek yg daftar SNMPTN jurusan teknik informatika UNESA nggak ya?

✄・・・
🧐 Trivia: Jepang adalah produsen mobil terbesar di dunia"
2022-01-03 07:14:56+00:00,nesa! mending ikut organisasi (hima/bem/dpm) atau ukm ya??
2022-01-03 06:31:30+00:00,Nesa! Refund UKT kalian ada yang udah cair ta rek?
2022-01-03 05:00:05+00:00,"udan ta rek? 👀

-👮🏻‍♂️"
2022-01-03 02:20:17+00:00,#NAME?
2022-01-02 22:47:41+00:00,nesa! pembayaran ukt semester ini dimulai dr tgl brp sampe tgl brp ya?
2022-01-02 18:20:32+00:00,2022 bisa lulus dari Unesa bismillah https://t.co/iPoKUOiZU9
2022-01-02 17:17:45+00:00,Unesa aja hehe https://t.co/Rqk014eToD
2022-01-02 13:11:03+00:00,nesa! Wes ada info mengenai kalender akademik?
2022-01-02 10:41:06+00:00,Nesa! Info kos cowok ketintang gaess. Sng ono wifi e yakkk. Suwunn.
2022-01-02 09:50:14+00:00,Gara² farid tok kabeh sak unesa raya tercinta dadi ngerti kabeh 🥲🥲🥲🥲🥲
2022-01-02 09:42:35+00:00,akhirnya unesa libur hehe saatnya fangirling lagii
2022-01-02 09:35:45+00:00,Vibes hari minggu di awal tahun: https://t.co/c3O13bSu3C
2022-01-02 08:50:06+00:00,Nesa! Kalender semester genap udh keluar kah?
