original,clean
"Terkait Korupsi Tol Japek II, Vice President Highway Traffic Engineering Diperiksa Kejagung 

https://t.co/nihjAd2gvs",
@Lintas_Jaman Klo gitu mah gw juga mau korupsi,
"Korupsi Dana Desa Masih Terjadi, Mengapa DPR Usulkan Naik Rp 2 M Jelang Pemilu 2024? https://t.co/XbgFVojK9t",
@liputan6dotcom Sisanya gk tau apa itu perubahan dan kelompok status quo yg menikmati kebebasan korupsi.,
@BuniYani Otak anda sepertinya sudah tidak berfungsi. Agama lo jual demi ambisimu. Logikamu cacat dan lumpuh. Pantat babi pun lebih berharga dari mulutmu itu. Agama anda obral gak punya urat malu. Hafal ayat ber juz2 pun kalau akhlaknya bobrok sama aja itu haram. Korupsi dan begal kelamin,
"https://t.co/NrZV9xbzv1
Bukan bangkrut tapi di korupsi uang nasabah asuransi @jokowi @erickthohir @DPR_RI @mprgoid @OmbudsmanRI137 @ojkindonesia",
"gk enaknya kerja di BUMN ya gini , Business Opportunity yang ada ""potential"" loss bisa keseret ke Pasal Tindak Pidana Korupsi. padahal bisnis ya gk selalu cuan",
"@rudyno1 @zeydpm @KKusumawardani Ya tapi sesuai definisi pada uu tipikor, menyebabkan kerugian negara itu ya korupsi.",
"Korupsi hampir 7M denda nya gak ada 50% nya maksudnya gimanah, penjara 6 tahun juga gua merem bentar besok udah 33 tahun",
@inilahdotcom Kalau korupsi sudah mewabah dari pemerintahan dan instansi tingkat terendap sampai tertinggi apalagi sudah terjadi di jantung institusi pemberantasan Korupsi tunggu saja kehancuran negara atau saat ini sudah mulai terjadi???,
@amri_9812 @FaktaSepakbola Mantap jiwa! Sekarang giliran Indonesia jadi tuan rumah Piala Dunia U-17. Semoga sukses dan tidak ada tindakan korupsi di sepanjang jalan. 🤞🏽🇮🇩,
"@831212Y @Dennysiregar7 @ListyoSigitP di NKRI msh blom ada yg punya nyali utk adili Genk Cendana + antek², butuh mafia underground(spt mossad,kgb dll) utk lenyapkan mereka dari muka bumi...anak cucu cang ato msh seneng2 pakaw duit hasil korupsi 32 th",
"@musniumar ..nyong, kau buat opini wan jamban tidak korupsi dasarnya apa? jika nanti ada 2 alat bukti yang menjadikannya tersangka, kau akan bilang rekayasa? penjegalan? tolol!
..biarkan hukum bekerja, awasi saja jalannya, jangan jadikan wan jamban malaikat tanpa dosa.
..buzzer tolol! https://t.co/PiZcnCiW3g",
"@kucingtuabanget @KKusumawardani Sedihnya, yg real penjahatnya malah pada lolos dan asik2 saja melenggang. Makanya gw udah dari lama stop terlalu menghujat tersangka korupsi yg muncul di media. Either tumbal atau korban lawan politik aaja.",
"@Minietweets_ Bukan ekspor, tapi barter pasir sama dolar.

Murid Soeharto akan selalu mengikuti jejak gurunya.

Kenaikan BBM - Penyesuaian harga
Korupsi - pemerataan pendapatan pribadi
Bisnis keluarga - yayasan",
"Dihantam Serangan Bertubi-tubi, Firli Bahuri Diharap Tetap Fokus Berantas Korupsi #FirliBahuri https://t.co/2d0tubIn92",
"Gak heran....kalau DPR gak suka bahas korupsi😊😀😅😂🤣
Emang ada rakyat Indonesia yg heran?? Ngomong2..Institusi paling korup apa ya?🤭😝🤦‍♀️",
@Uki23 Posisi kami jelas bang. BEM UI merasa pembahasan RUU Perampasan Aset Koruptor di parlemen harus segera dilakukan demi kokohnya penanganan kasus korupsi di masa mendatang.,
@KKusumawardani sepertinya korupsi berjama'ah tumbal seperti Angie sondakh,
"Min, saran aja.
Korupsi itu bakal ilang kalo yang masuk parlemen bukan dari keluarga keluarga orang dalem. Mending hire orang diluar keluarga mereka.

Ini, mau masuk honor aja susah. Eh, tau tau yang masuk honor keluarga si A wkwkwj",
"@KKusumawardani Bener korupsi, atau dinilai bertanggung jawab atas kerugian 6,9 T? Kemana uangnya? Siapa saja yg ikut kebagian? Kok tidak ada pejabat Kem BUMM yg tanggung jawab padahal mereka yg mengangkat Direksi dan Dekom utk mengawasi, dan tiap 3 bulan ada laporan manajemen?",
"Helmy Yahya korupsi?🤣🤣
@psi_id https://t.co/n2gVJvzF6l",
@starfess YG si anti korupsi 🙏🏼,
"@bachrum_achmadi Padahal 3 minggu sebelum nya mereka membunuh 6 laskar, entah kesalahan apa. Pasca dibubarkan puluhan rekening terafiliasi FPiI dibekukan. Cepat, bahkan kasus korupsi pun tdk secepat itu. 

Kini nyali mereka diuji apakah segarang itu, atau krn hanya bagian oposisi FPI layak bubar",
"om Ben Ojo mimpi. ora iso nokowi itu

yg lucu lagi baligho PSI melwan korupsi dg foto Jokowi

wong jaman jokowi korupsine ugal ugalan triliunan",
"@tvOneNews Jika itu Benar, Setiap yang berurusan dengan hukum, Korupsi tidak bisa di politisasi dengan alasan Cslon, presiden. Koncoyang sengaja mempolitisasi dgn  mencalonkan jadi capres juga patut diduga  bagian kejahat, atau bagian dari kasus, jika itu partai harus di bubarkan.",
"@Aryprasetyo85 @03__nakula @B1nt4ng_K1r4r4 @Arindra__ @Anak__Ogi @alextham878 @al_lasan @AgusValent65949 @DM_N4BYL @B3doel___ @ch_chotimah2 maling seperti ini harus dihukum berat.. tapi soal leletnya dan mahalnya internet dinegeri ini sepertinya tidak ada hubungan dg korupsi..lebih kepada kebijakan, teknologi dan bisnis yg bikin mahal dan lelet.",
"@FaktaSepakbola kalau neymar koruptor urutannya gini
1. Neymar korupsi 2.5 M
2. Messi ngasih plakat
3. plakatnya dilelang
4. terjual 2.5 M pake duit korup tadi tapi atasnama orang
5. hasil 2.5 m nya diberikan ke yayasan neymar
6. uang 2.5 m jadi uang halal 🫡",
@Cerita_Puspa INI CARA MEMBUNGKAM RAKYAT AGAR RAKYAT MENJADI TAKUT UTK MELAPORKAN KE PIHAK YG BERWENANG AGAR MEREKA BEBAS MELAKUKAN KORUPSI BERJAMA'AH.... MALING TERIAK MALING!!!.... NEGARA HANCUR..,
"@musniumar Anies tidak korupsi cuma sering kelebihan bayar, salah hitung dan salah ketik",
@GeiszChalifah Anis segera jadi tersangka korupsi di KPK amin lebih cepat lebih baik.,
"@Khaifilecofarm @Metro_TV @alditaher_indo Pemggantuan rezim...apakah akan menghapus korupsi?
DKI era kemarin juga masih banyak korupsinya....",
"@dennyindrayana terlibat korupsi di wakemenhuham .. oh apakah nie hubungan nya dgn corby ?? 
@KPK_RI @firlibahuri @ST_Burhanuddin @KejaksaanRI silahkan di buka ?? 
Dan buat @ahriesonta @ListyoSigitP silahkan jg diperiksa @Edhie_Baskoro ?? 
Makasih https://t.co/wxuTPtUbZT",
"Tolong dong Menkeu dan Mentri ESDM, Penerimaan Negara Bukan Pajak (PNBP) dri tambang batubara di cek target produksinya sama laporan setoran PNBP nya berapa ?? Mahfud MD bilang korupsi sektor pertambangan gila2an ..... https://t.co/2ln9VIO0Pp",
"@PaijoKhentir @bnsphrxyz Ada lagi dan lagi..... 
Menyedihkan .....
Tp yang pernah sebarisan ga pernah ada komen apalagi ttg intoleran Dan Korupsi 
Mereka mau mbawa kemana arahnya...",
"@akubuten mirip sama sebagian orang yang pake jilbab, umrah, ngaji, tapi makan hasil korupsi. kaya… jadi ga ngerti ini sebenernya mereka beragama beneran buat Allah atau biar diliat sama manusia si?",
@mynewshub Imej korupsi beliau menjadi bebanan besar.,
Kejati Jatim Bongkar;  Korupsi Pembangunan Rumah Prajurit Fiktif  Libatkan Oknum Perwira Menengah Militer https://t.co/RTC2wt9A6o,
"“Ada informasi dari PPATK waktu itu Abraham Samad mengatakan, kalau saja didunia pertambangan ini kita bisa menghapus celah2 korupsi,setiap kepala org Indonesia itu setiap bln akan mndptkn uang Rp 20 juta tanpa kerja apa pun,trmasuk anak kecil,”ujar Mahfud
https://t.co/LWKn2tagXG",
@utarioep @kompascom Kalo terbukti gak korupsi yaa gak mungkin dirampas... pertanyaan yang aneh....😅,
@dennyindrayana Gk laku disini makanya jual bacot di luar sana. Apa sih yg bisa kita harapkan dr eks tersangka korupsi ? https://t.co/2lOAjDhL7c,
@wa_riedin Ngk kurang banyak tuh jumlah kasus korupsi sang profesor penyebar hoax ya,
@geloraco Satu lagi orang gak bisa bedakan antara korupsi dan hutang investasi. Padahal kelihatannya pintar orang ini. Namanya jadi ke inget merek buku tulis..,
"@starfess YG. Bayaran gede, bisa ngasah skill karna disuruh bikin lagu sendiri, perusahaan bebas korupsi, memanusiakan manusia- banyak istirahatnya, soalnya aku lebih suka istirahat banyak, terus abis itu sibuk. Genre musik YG sesuai sama aku. +nya bisa temenan sama YG artist💅",
"@Lintas_Jaman Kalo korupsi masih diberi hukuman ringan, gua yakin ga ada yg kapok buat korupsi lg, minimal hukum mati, biar yg lain kalo mau korupsi  mikir 2 kali",
"@dennyindrayana si denny ini
1. gak jantan
2. omongannya memframing, khas politisi
3. cari perhatian krn mau nyaleg
4. profesor abal"" banyak berasumsi
5. hrs diproses hukum: tsk korupsi dan bocorkan rahasia negara",
"@JazuliJuwaini Seharusnya PKS lebih berani membela umat, menegakkan kebenaran &amp; keadilan, melawan kezaliman penguasa, bersih dari korupsi dsb. Namun, kenyataan nya terbalik.
Sebagai umat Islam saya kecewa berat.
Kalo tdk sanggub berakhlak mulia, jgn berazas kan Islam. Menciderai umat Islam.
🙏",
"Survei KedaiKOPI: 62,1 Persen Rakyat Nilai Proyek di Rezim Jokowi Banyak Korupsi dan Nepotisme 
Rayuan Perempuan Gila IYA SAYANGKU Al Zaytun Selingkuh Luna Maya Syahnaz Meli Padalarang OceanGate Jakarta The Great War #TaipeiOpen2023 https://t.co/BlhFvvNfDm",
"Intruksi Kapolri Tidak Berlaku di Polres Langkat Bentuk Perjudian, Narkoba , Korupsi, Dll Tetap Berjalan Tidak Percaya Turunkan Dari Mabes Polri. https://t.co/OV1m8gq6u9",
"Survei KedaiKOPI: 62,1 Persen Rakyat Nilai Proyek di Rezim Jokowi Banyak Korupsi dan Nepotisme https://t.co/yHBqym6Jn4",
"@Lintas_Jaman Nyayur.. Gmn orang gk pd demen korupsi..

#Masihuntungbanyak",
"@neko_nyanpasu Beda, Sist. Ini bukan korupsi umum yg kita tau. Ini proyek yang ruwet",
"@langitmalamlagi Dulu yg sering dibahas sejak lama itu RJ Lino (pelindo) sama hotasi nababan (merpati) yg sempet jadi tsk korupsi tapi banyak yg menganggap kalo kesalahan mereka itu ""cuma"" kesalahan prosedur.
Hotasi malah sampe bikin buku dan banyak yg dukung.

Tapi ya tetep gatau gimana sih wkwk",
"@KKusumawardani Bentar2 korupsi segitu, denda y cuma 850 🤔 lah untung banyak dong, bebas dari bui masih tajir melintir 🤦",
"@TeddGus @aniesbaswedan @dennyindrayana KORUPSI APA WOOY ANJIING JONGOS REZIM, MALIIING TERIAK TERIAK MALIIING GITUUUU 🤣😂😂👊👊👊👊 https://t.co/ABGSuvlvlp",
"@Heraloebss @DPR_RI Korupsi Kolusi Nepotismenya ya 9 tahun juga ya per periode, nikmat sekaly",
"korupsi 6.7 T dihukum 6tshun penjara, 
gak masalah toh 6 th itu gak lama, setelah bebas nikmati 6.9T

Negeri antah berantah
Maling bisa nikmati hasil jarahanmya",
"@Lintas_Jaman @PartaiSocmed benerkah ini korupsi 6T hukumannya hanya segitu,kemana arah negeri ini?@jokowi",
cuma 1 kekecewaan gw di jaman jokowi: gak bisa memberantas korupsi SIM. Nilai korupsi yg udh ditanam dan dianggap “lumrah” sedari dini ya ini.,
"@WagimanDeep212_ @jokowi @PPATK @psi_id Gimn org ga mau korupsi kalau hukumannya main"".",
Repsnya hmmm ya keknya sengaja si yg di sorot sengaja bagian korupsi 6.9T sama denda 850M nya doang,
@AndiSinulingga Ya jauhlah satu partai korupsi nya berjamaah..blog,
"Manipulasi dan Korupsi Terkait Perusahaan Kelapa Sawit Indonesia 

Tapi, Luhut mengatakan persoalan ini dapat diselesaikan melalui mekanisme Pasal 110A dan 110B Undang-undang (Perppu) Cipta Kerja. 

Apakah berarti bisa 'nego' dengan penguasa?

https://t.co/MQBsoXqHPc",
"Ketegasan Erick Thohir dalam memberantas korupsi memang tidak main-main!

Sosok yang di butuhkan Indonesia kendepannya, pemimpin yang tegas dan bersih.👌🏻

@erickthohir 
#GanjarErickDuetTerbaik https://t.co/x86jlu8EVJ",
@msobri99 Ada yg bisa bedakan hutang dan korupsi? Kenapa diposisikan sebagai pembanding?,
"@Lembayung071 @Ndaxwz @mohmahfudmd Aku yang akan membenarkan koruptor, apabila dia melakukan tindakan korupsi, karena itu memang tugasnya 🤑",
"@tatakujiyati Ini pasti kadrun blm tau, kriminalisasi itu bagi mereka yg gak punya kasus hukum. Nah, klo mereka yg pernah melanggar pasti punya kasus hukum klo diproses itu ya namanya penegakan hukum. Semua yg korupsi mestinya tdk dibela mau pro/kontra jgn milih2 itu bedanya sbg rakyat",
@papa_loren heem stabilitas desa apa yg ada cuma korupsi tmbah parah dan kalau dpt bantuan apapun kerabatnya yg di utamakan.skrg itu karena biaya politik mahal yg jadi pejabat itu cuma org yg punya bnyak uang mangkanya korupsi makin membudaya,
"@_n0t4lfiaccount Giliran jadi kambing item ini caption media2 juga problematis banget framingnya, menyebabkan kerugian negara = selalu korupsi is one the dumbest take ever. Business judgment rules my arseee",
@dennyindrayana Penebar hoax tersangka kasus korupsi gateway klu mau koar2 kesini jgn sembunyi di australi dasar antek asing,
SAH kan UUD penyitaan harta untuk kasus korupsi,
@dennyindrayana Tersangka korupsi yg pengecut bicara lg....,
"@zeydpm @KKusumawardani judul berita menyesatkan, bukan dia korupsi dapat 6.9T, tapi nilai potensi kerugian negara 6.9T",
"@WagimanDeep212_ @jokowi @PPATK @psi_id Saya malah lebih melihat solusi yang paling tepat itu bukan penjara untuk koruptor dan bandar narkoba, memiskin kan mereka itu lebih tepat. Orang yang mau jadi bandar narkoba dan korupsi pasti berfikir berulang kali",
"Para pendukung, relawan dan simpatisan Anies Baswedan harus bicara, menulis,  berdoa dan melakukan perlawanan untuk mencegah Anies dijadikan tersangka oleh KPK karena Anies tdk korupsi. Sudah 3 kali BPK  melakukan audit ttg Formula E tdk ada kerugian negara. 

https://t.co/WKIQ4PTqQA",
Korupsi tuh bukan masalah gede cuma hukumannya aja yg ringan,
"Penggiat korupsi , main belakang.",
"@starfess YG. Bebas korupsi, gaji gede, kerja santuy, mau ngantor apa engga terserah, abis debut juga masih dapet kelas kalo pengen belajar ngembangin diri 🙏🏻",
"@Lintas_Jaman dia mendapatkan keuntungan korupsi 6.9 T, atau nilai kerugian kasusnya 6.9 T??

ambigu ini.",
"Bongkar Dokumen Korupsi Kredit Fiktif Bank BNI, Satgassus P3TPK Kejati Jatim https://t.co/lUhvRJnBj9",
@Dennysiregar7 @ganjarpranowo Bukan kah dia yang korupsi e KTP,
"@aniesmania menurut kadrun, rugi itu sama dengan korupsi..drun drun, nungguin kamu pinter itu sama aja nunggu si anies jadi presiden, ngimpi🤣🤣🤣",
"@barry_all2n Ternyata korupsi yg bisa mempersatukan yes,bukan ideologi😂😂",
"#BeritaJateng
Kasus Dugaan Korupsi Dana KONI Kudus, Kejari Periksa 15 Saksi
#kasuskorupsi
#konikudus
https://t.co/oo3X3KFiTB",
@chuyAjah Hanya dg korupsi mereka bersatu,
"@MorphoMenelausX KORUPSI terutama yg bikin ampas nasib rakyat negeri ini.

Bikin BTS 10T, yg diduga korupsi 8T. Gila khan ya..",
woy tonjokin org korupsi yu bisa bisanya ya org mah lg susah duit tp di korupsi,
"Bagaimana koruptor akan jera? 
Kalo hitung2an uang sudah cuan banyak. Pripun niki Pak @jokowi ,spertinya penuntutan hukum untuk koruptor sangatlah minim , 
Kenapa g seumur hidup? Bukannya korupsi adl extra ordinary crime? 
Cc @ST_Burhanuddin @KejaksaanRI https://t.co/3DGZ3uECB7",
"Dua Menteri dari Nasdem Tersangkut Dugaan Korupsi, Siswono: Tidak Mungkin Jika Tanpa Bukti  

Selengkapnya saksikan di sini: https://t.co/UjjGSJBhhv 
#rosikompastv https://t.co/ROM8dw59hL",
"@SeparuhJiwa17 @bung_madin @KPK_RI @PPATK @kemendagri @KejaksaanRI Nah iya, dari bokap nya juga udah kaya. Ga kebayang kalau beliau korupsi, kemana-mana zikir kok dengan tasbih yang selalu melekat di tangannya.",
"Sedih, yang korupsi memperkaya diri ga kena. Yang kena mgkn tumbal2nya aja

Salah dikit dijeblosin org.",
"@fret_convront @menghanyurkan Kalau konteksnya seperti ini apakah berati yang tadinya normal, lalu berada di lingkungan yang dinormalisasi maka akan jadi menyimpang?

Contoh:
-dekat dengan komunitas atau teman LGBT?
-gabung dengan DPR yang penuh Korupsi?
-gabung dengan teman yang intoleran?",
"@msaid_didu Akan sangat benar2 menarik bila terbukti di pengadilan, Korupsi adalaha Musuh Laten",
"@panca66 Cocok banget
Anies tidak korupsi tapi kelebihan bayar
Partainya Agus tidak padahal korupsi",
"@datuakrajoangek Pikirkan juga kpk. Khusus formula E, Indonesia pemegang rekor dunia biaya komitment fee, yg sampai sekarang belum ada bukti transfernya. Kalau kpk tidak usut, dianggap takut. Kalau dilanjut dianggap alat political. Btw, sengaja memperkaya org lain, juga masuk korupsi.",
"@Dpram_Balik Bagaimana mau memberantas korupsi,partai pengusungnya juga juara korupsi 🤣🤣",
"@Fisyasia @KKusumawardani Ya namanya juga proyek, pasti ada tumbal nya.
Kasian aja kalo memang bener gitu.
Soalnya dengan latar pendidikan, pekerjaan  dan profesi nya ga perlu korupsi juga udah pasti banyak duitnya. 
Tapi ya gitu deh
Kayak dulu kasus susno kan sekertarisnya yg dipenjara krn dia yg ttd",
"Yang unik dari Indonesia itu
Stigma TNI/Polisi/Pemerintah itu jelek di mata masyarakat tapi kalau soal berita korupsi lansung percaya aja tanpa koreksi
Padahal yg lu percaya itu yg lu benci wkwkwkwk",
"@msobri99 Apa hubungannya formula E dgn korupsi nya menteri Jokowi...bong?
Kapan lu pinter nya bong...?",
aku suka dejavu sama skripsiku kalo liat berita korupsi yg unsurnya merugikan negara tanpa memperkaya diri sendiri gini.. sedih tapi ya mau gimanaaa.....😭,
@RomeoWalker19 @BEMUI_Official Inilah akibat anak anak terlalu banyak diberikan makanan dari hasil curian atau korupsi..hilang akal sehatnya lupa budayanya..ambrok akhlaknya.,
"dituduh pembangkang
dituduh pembully
dituduh korupsi
lengkap 😌",
@dennyindrayana Tersangka korupsi bicaranya koq kayak manusia suci tanpa dosa sih?,
"@ruliemaulana @oldman5252 @ihsanbiantoro @theforge8888 @KKusumawardani definisi pidana korupsi skrg ga cuma suap, sengaja markup, korupsi. pengadaan ato proyek yg dianggap merugikan negara bisa dianggep korupsi. misal nilai proyek ternyata kemahalen ato proyek jadi ga kepake. padahal ga memperkaya diri.",
Dewas KPK vs polisi dalam kasus firly Bahuri . Apatis akan berjalan penegakan pemberantasan korupsi https://t.co/VMMUMdXHSu,
"Dalam kesempatan ini, ia menjelaskan pemberantasan korupsi yang efektif dapat dilaksanakan dengan menggunakan 3 pendekatan, yaitu pendekatan pendidikan masyarakat, pendekatan pencegahan, dan pendekatan penindakan. https://t.co/TZqRdBXEwC",
"Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih",
"@OposisiCerdas Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih",
@geloraco Ga liat apa banyak kades korupsi bahkan pemakai narkoba bahkan pengedar..heran mih DE PE ER,
@BuniYani Yg korupsi sapi hafal juzz gak bun?,
"@awalkoe @RamliRizal @abi_daawud @jokowi 1,3T jama dulu seharga sama korupsi berapa T jaman sekarang intinya jangan sebut nominal.. tp perilaku korupsinya walaupun hanya 1 rupiah",
@AjatSdet @bujangkinangan @tempodotco biasa cebong yg kayak gini. Ga apa korupsi yg korupsi kelompoknya dia,
"Sosok pemimpin yang bernyali dan berkomitmen tinggi dalam pemberantasan korupsi.
Menteri @erickthohir terbukti berhasil dalam melakukan program bersih - bersih di tubuh BUMN.

@erickthohir
#GanjarErickDuetTerbaik https://t.co/MsnPiJ0tGg",
"@liputan6dotcom Semua lini ditanamkan org partai, apakah biar mudah ""mengelola"" anggaran yg dikelola entitas milik negara demi kelangsungan hidup partai? Lihat BRIN...apakah mjd makin besinar? Blm lagi korupsi2 oleh org2 partai di kementrian, untuk siapa mereka berani korupsi?",
"@Lintas_Jaman Sepertinya hakim dan para jaksa penuntut hrs diperiksa nih sama Kejagung. Korupsi dgn nilai triliun, hanya di vonis 6 tahun dan denda 850 juta? Kalian sehat?",
@KompasTV Pak @jokowi ini loh yg suka bikin aplikasi gak jelas @korlantasid disekolahin tinggi tinggi pake pajak rakyat cuma bisa mempersulit buat proyek gak jelas. @ListyoSigitP korps @korlantasid ini yg dulu kena korupsi simulator SIM,
@msobri99 Mandalika itu bkn rugi atau korupsi tp suatu nilai dr investasi demi kemajuan suatu daerah yg selama ini tertinggal jd bumi dn langit dgn kasus formula e yg jelas merugikan negara,
"Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih",
"@BuniYani Tanah kelahiran gw pernah punya Bupati yg mengharuskan ASN didaerahnya utk sholat subuh berjamaah,,, bagus mantab👍👍
Gak lama kemudian dia ketangkep korupsi,, sekarang lg ngandang.
Agama hanya dijadikan kedok doang!!!!
Lebih bangsat dari Bangsad!!!",
"Lima Eks Manager Antam Diulik Kejagung, Cari Tersangka Korupsi Komoditi Emas Rp 47,1 Triliun https://t.co/D6phSJGLZy",
"Mal Pelayanan Publik (MPP) dapat mencegah pungutan liar yang berujung menjadi tindakan pidana korupsi.
Tito menegaskan bahwa Kementerian @kemendagri mendukung keberadaan MPP digital. Dukungan tersebut terkait dengan pemberian data kependudukan dan pencatatan sipil (dukcapil) https://t.co/au21QHhstq",
@justasecretaii Auto jadi korupsi wkwk,
@nazaqistsha Dah batal sbg lembaga adhoc memberantas korupsi https://t.co/gGsrpN6sYe,
"Seorang pensiunan Kepala Sekolah SD di Surabaya, Jawa Timur berinsial MI (61) diduga menggelapkan uang Koperasi KPRI Tegar senilai kurang lebih Rp 2,3 miliar. KPJ

#MNCTVNews #LintasiNews #News #korupsi #kepalasekolah #tilepuang #uang #nilep #koperasi #guru #news #viral https://t.co/ehr0MFKmV3",
Mulyanto Minta Polri Usut Tuntas Kasus Korupsi di Ditjen Minerba ESDM https://t.co/8NjhlFwwib,
"KPK Duga Pegawai Terima Uang Pungli di Rutan Melalui Pihak Ketiga
https://t.co/vv2dvkoLNw
#parboaboa #kpk  #pungli  #nasional  #rutan  #korupsi  #timinvestigasi",
@tanyakanrl Menjiwai sifat korupsi sejak sekolah. Tak baik.,
"@liputan6dotcom Mntap,,10 tahun imdonesia gak ada kemajuan,,korupsi makin subur,,,nepotisme maki makmur,,penegakan hukum makin ngawur",
"@Ojoklalenya bisnis proztitusi ini adalah salah satu bizniz besar kaum zipit zipit, selain bisnis KORUPSI. https://t.co/44Yvipjhvn",
"@msobri99 Tangkap @Jokowi gak mungkin dia nggak tahu korupsi yg dilakukan anak buahnya /menterinya, tangkap juga cukong dibelakang koruptor ini termasuk suami PUAN dan juga hasto @pdi_perjuangan https://t.co/NaaFJotSMz",
@hipohan Pungli di Rutan KPKP bentuk kegagalan pimpinan @KPK_RI menjaga nama baik Lembaga Pemberantas Korupsi,
"@KompasTV Ya sbg manusia klo salah dikit2, lupa dll is ok. Tapi klo salahnya sebagai lembaga pemberantas korupsi tapi melakukan korupsi, dengan sadar dan berjamaah...itu sama dg tentara yg nembakin/membantai rekan2nya sendiri..hrs dihukum yg paling berat, lbh berat dr koruptor klas kakap!!",
"@hc_poirot Ini bukan masalah untung atau tidak kong saiiid, tapi ini masalah korupsi,kl anis ga salah klarifikasi dong jgn diem aja...",
"Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih",
@JhonPandi118646 @mardigu024 katakan YA pada korupsi https://t.co/8FF1Dw6zW3,
"Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih",
"@prastow Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih",
"@Lintas_Jaman Pleeaseee
Org yg paham hukum
Tlong jelasin knp korupsi dan denda yg dibalikin selalu beda ?
Bhkn denda selalu lebih kecil..
Mngkin pak @mohmahfudmd 
Bisa bantu jawab pak",
"Ajaib benar pejabat negeri ini
Sirkuit mandalila yv rugi dibilang wajar
FE yg untung dituduh korupsi
Otaknya pada kebalik atau moralnya yg hilang?",
Kepala Pekon Datarajan Diduga Korupsi Dana Desa https://t.co/d8lLKIiwqi https://t.co/hM5ejRMnio,
"KPK: Selisih Ekspor Ore Nikel Ilegal ke China Tembus Rp14,5 Triliun #EksporNikel #EksporOreNekel #Korupsi #KPK #Nikel  https://t.co/qVNX0Z4QEA https://t.co/mMY2eRgEKM",
"Kalo rugi dianggap wajar tapi kalo untung dituduh ada korupsi! 
Repot juga musuh gerombolan maling krah putih ya? 🙄",
"@schfess Gak, itu sama aja korupsi.",
"@KKusumawardani Rugi usaha dianggap korupsi, walah ngeri amat. Klo gitu mah nyari aman aja",
"@MardaniAliSera @dennyindrayana Bila DI punya ""data mestinya kuat"" tentunya KPK jg punya data yg kuat dan sudah teruji 99% teruji. Dan sekecil apapun korupsi ya harus dinyatakan koruptor, walaupun para koruptor itu tak malu hidupnya kotor.",
"Benar-benar habis deh harapan rakyat kpd  @KPK_RI. 
Dulu banyak rakyat berharap @KPK_RI mnjadi benteng terakhir utk pemberantasan korupsi. Insan di dalamnya mnjadi rule model pribadi berintegritas. 
Skrang bangunan itu runtuh. Puing2nya kelak akan menjadi hunian para penyamun",
"@Dennysiregar7 @ganjarpranowo Nah, ngomong2 soal korupsi....lampu merah mulai menyala dibilik KPK.....astagfirullah...Sudah saatnya Pakde turun tangan ni... ga bisa didiamkan terus, kapeka makin kronis, lunglai pula...mau dibawak kemana negara tercinta ini?",
"@liputan6dotcom Ingin berubah lah bosan dengan kondisi enak sekarang:
- ekonomi  terus meroket.
- biaya pendidikan makin murah.
- cari kerja sangat mudah.
- BBM makin murah.
- Subsidi rakyat terus ditambah.
- Pajak rakyat diturunin pph ppn.
- Korupsi Kolusi  Hilang.
- Rakyat Tdk terpecah.

?",
"Petugas Rutan Komisi Pemberantasan Korupsi (KPK) yang melakukan pelecehan terhadap istri tahanan di rumah tahanan (Rutan) KPK, diganjar sanksi etik oleh Dewan Pengawas (Dewas) KPK. “Sidang etik pada April 2023, dengan putusan pelanggaran etik sedang,”… https://t.co/s6TLyr44Ul",
"kata 'wajar' hanyalah hal yang sudah menjadi kebiasaan, yang tadinya hal tidak wajar yang di normalisasi. Terlepas berdampak positif/negatif.

korupsi misalnya apabila dilakukan berulang akan menjadi kebiasaan dan akan menggeser pandangan oarang2 bahwa korupsi itu 'wajar'.",
"@liputan6dotcom Oo lupa aku. Ternyata maju itu hutang, maju bangkrut BUMN, Maju naik pajak, maju bertambah rakyat miskin, maju korupsi, maju balita stunting, maju pengangguran",
